Product Product Name,Substance Cas Number,Substance Substance Name,Product Total Number of Requests
Sodium sulphate - technical quality,7757-82-6,Sodium Sulfate Anhydrous,16
Acetic Acid 80% E260 (Food Grade),64-19-7,Acetic Acid,16
Sodium Sulfate Anhydrous,7757-82-6,Sodium Sulfate Anhydrous,16
Rapeseed Oil Methyl Ester,85586-25-0,"Rape Oil, Fatty Acids, Methyl Esters",16
SLES N 70,108-88-3,Toluene,16
Hydroquinone,123-31-9,Hydroquinone,16
Sodium Metabisulfite E233,7681-57-4,Sodium Metabisulfite,16
Phosphoric Acid 75% Food Grade- IBC,7664-38-2,Phosphoric Acid,16
Purified Terephthalic Acid,100-21-0,Terephthalic Acid,16
HEDP,2809-21-4,Etidronic Acid,16
MEG- Mono Ethylene Glycol (MEG),107-21-1,"Ethane-1,2-diol",16
Monoethanolamine 99% (MEA),141-43-5,Ethanolamine,15
Propylene carbonate (PC),108-32-7,Propylene Carbonate,15
Formic Acid 85%,64-18-6,Formic Acid,15
MMA- Methyl Methacrylate (MMA),80-62-6,Methyl Methacrylate,15
Boric acid,10043-35-3,Boric Acid,15
Monoammonium Phosphate,7722-76-1,Ammonium Dihydrogenorthophosphate,15
Dipropylenglykolmonomethylether (DPM),34590-94-8,Methoxypropoxypropanol,15
AMMONIA 25 % WATER SOLUTION Ph.Eur.,7664-41-7,Ammonia,15
Lithium Hydroxide monohydrate,1310-66-3,Lithium Hydroxide Monohydrate,15
Ammonia,7664-41-7,Ammonia,15
carbon blacks (available products),1333-86-4,Carbon Black,15
Sodium Lauryl Ether Sulfat (SLES 28%),9004-82-4,2-Dodecoxyethyl Hydrogen Sulfate,15
Zinc chloride anhydrous,7646-85-7,Zinc Dichloride,15
Oxalic Acid,144-62-7,Oxalic Acid,15
Oxalic Acid,6153-56-6,Oxalic Acid Dihydrate,15
Aluminium Powder,7429-90-5,Aluminium,15
Sunflower Oil Refined,8001-21-6,Sunflower Oil,15
VAM- Vinyl Acetate Monomer (VAM),108-05-4,Vinyl Acetate,15
Methyl Ethyl Ketone,78-93-3,Methyl Ethyl Ketone,15
Sodium Hexametaphosphate,10124-56-8,Sodium Metaphosphate,15
ETHYL ALCOHOL   -  ETHANOL,64-17-5,Ethanol,15
N-Methyl-2-Pyrrolidone (NMP),872-50-4,N-Methyl Pyrrolidone,15
ISOPROPYL MYRISTATE,110-27-0,Isopropyl Myristate,15
Alcool éthylique éthanol dénaturé 96 %,64-17-5,Ethanol,15
"Universal, anionic base surfactant (Sodium laureth sulfate SLA) - SULFOROKAnol L270 / 1",68891-38-3,"Alcohols, C12-14, ethoxylated, Sulfates, Sodium Salts",15
"CULMINAL 40,000",9032-42-2,Hydroxythyl Methyl Cellulose,15
Glacial Acrylic Acid,79-10-7,Acrylic Acid,15
SULPHUR GRANULAR,7704-34-9,Sulfur,15
N-BUTYL ACETATE,123-86-4,n-Butyl Acetate,15
Sucralose,56038-13-2,Sucralose,15
Gum arabic,9000-01-5,Gum Arabic,15
Acide Citrique monohydraté - CAS N° 77-92-9,77-92-9,Citric Acid,15
Acide Sulfurique 96% EN 899 (CAS 7664-93-9),7664-93-9,Sulfuric Acid,15
Methanol rein,67-56-1,Methanol,15
Natriumbenzoat,532-32-1,Sodium Benzoate,15
Butylglykol,111-76-2,2-Butoxyethanol,15
Methoxypropanol (PM),1320-67-8,Methoxypropanol,15
Natriumbicarbonat,144-55-8,Sodium Bicarbonate,15
Isobutyl Acetate,110-19-0,Isobutyl Acetate,15
PMA / Methoxypropylacetate,108-65-6,1-Methoxy-2-propylacetate,15
Butyl Glycol Acetate (BGA),112-07-2,2-Butoxyethyl Acetate,15
Soda ash-dense grade,497-19-8,Sodium Carbonate,15
Acetone - Technical Grade,67-64-1,Acetone,15
Ethanol 96.5 denaturiert,64-17-5,Ethanol,15
Sodium Bicarbonate (E-500),144-55-8,Sodium Bicarbonate,15
PVOH BP-17,9002-89-5,Polyvinyl Alcohol,15
"Titanium Dioxide, Rutile",13463-67-7,Titanium Dioxide,15
Toluene- Regenerated,108-88-3,Toluene,15
Acétate de Butyle - CAS N° 123-86-4,123-86-4,n-Butyl Acetate,15
Butylated Hydroxytoluene (BHT Antioxidant),128-37-0,Butylated Hydroxytoluene (BHT),15
Di Ethylene Glycol (DEG),111-46-6,Diethylene Glycol,15
PVA 088-20,9002-89-5,Polyvinyl Alcohol,15
Phenol,108-95-2,Phenol,14
Didecyldimethylammonium Chloride - DDAC-C10 80%,7173-51-5,Didecyldimethylammonium Chloride,14
Pharmaceutical grade potassium hydroxide granules,1310-58-3,Potassium Hydroxide,14
TiO2 A3100,13463-67-7,Titanium Dioxide,14
Magnesium Carbonat,546-93-0,Magnesium Carbonate,14
Monoethanolamin,141-43-5,Ethanolamine,14
Ammoniumchlorid,12125-02-9,Ammonium Chloride,14
Potassium Permanganate,7722-64-7,Potassium Permanganate,14
